"ROWID","YEAR","DATANUM","SERIAL","HHWT","HHTYPE","REGION","STATEFIP","COUNTY","METRO","CITY","GQ","FRIDGE","PHONE","CINETHH","CILAPTOP","CISMRTPHN","CITABLET","CIHISPEED","VEHICLES","PERNUM","PERWT","RELATE","RELATED","SEX","AGE","BIRTHQTR","MARST","BIRTHYR","MARRNO","MARRINYR","YRMARR","DIVINYR","RACE","RACED","BPL","BPLD","ANCESTR1","ANCESTR1D","ANCESTR2","ANCESTR2D","CITIZEN","SCHOOL","INCTOT","FTOTINC","INCWAGE","INCSS","INCWELFR","INCRETIR","POVERTY","VETDISAB","DIFFREM"
1328085,2016,1,574703,69,1,31,24,190,3,0,1,2,2,1,1,1,2,20,2,3,73,3,301,1,22,4,6,1994,0,0,0,0,1,100,24,2400,999,9990,999,9990,0,2,42000,264000,42000,0,0,0,501,0,1
2566901,2016,1,1128400,77,1,32,47,370,4,4410,1,2,2,1,1,1,1,10,2,4,67,3,301,1,2,3,6,2014,0,0,0,0,1,100,47,4700,999,9990,999,9990,0,0,9999999,429000,999999,99999,99999,999999,501,0,0
2027993,2016,1,883133,61,3,12,36,810,2,4610,1,2,2,1,1,1,1,10,1,1,61,1,101,2,39,1,6,1977,0,0,0,0,2,200,260,26060,615,6151,706,7060,3,2,65000,101000,65000,0,0,0,501,0,1
1050230,2016,1,448530,19,1,21,17,0,0,0,1,2,2,1,1,1,1,10,3,3,12,3,301,2,35,1,4,1981,1,1,2001,1,1,100,17,1700,999,9990,999,9990,0,1,19600,92600,18000,0,1600,0,318,0,1
1044168,2016,1,445892,157,1,21,17,1190,3,0,1,2,2,1,1,1,1,10,2,1,156,1,101,2,28,2,1,1988,1,1,2014,1,1,100,17,1700,32,321,50,500,0,1,65000,115000,65000,0,0,0,501,0,1
2546430,2016,1,1119159,125,1,22,46,0,0,0,1,2,2,1,1,1,1,10,2,1,125,1,101,2,43,4,1,1973,1,1,2003,1,1,100,46,4600,97,970,82,820,0,1,50000,95000,50000,0,0,0,494,0,1
1206855,2016,1,519271,56,1,22,20,0,4,0,1,2,2,1,1,2,1,20,2,2,66,2,201,2,58,2,1,1958,1,1,1988,1,2,200,22,2200,999,9990,999,9990,0,1,18000,55800,0,0,0,18000,299,0,2
2306648,2016,1,1009381,34,1,33,40,0,1,0,1,2,2,1,1,1,2,10,2,6,40,3,301,2,1,4,6,2015,0,0,0,0,1,100,40,4000,32,321,999,9990,0,0,9999999,50000,999999,99999,99999,999999,157,0,0
2263085,2016,1,989837,63,1,21,39,930,4,0,1,2,2,3,1,2,1,0,1,3,134,3,301,2,22,4,6,1994,0,0,0,0,2,200,39,3900,902,9020,999,9990,0,1,4700,29700,4700,0,0,0,159,0,1
3120134,2016,1,1363878,261,6,21,55,790,3,0,1,2,2,1,1,2,1,10,1,1,262,1,101,2,79,2,5,1937,1,1,1955,1,1,100,55,5500,32,321,98,980,0,1,23500,23500,0,17200,0,6300,206,0,1
23979,2016,1,11107,309,3,32,1,0,0,0,1,2,2,1,2,1,2,20,1,1,309,1,101,2,29,2,6,1987,0,0,0,0,2,200,1,100,902,9020,999,9990,0,1,21000,21000,21000,0,0,0,109,0,1
1983258,2016,1,863797,70,1,12,36,590,3,0,1,2,2,1,1,1,1,10,2,4,90,3,301,1,14,4,6,2002,0,0,0,0,1,100,36,3600,999,9990,999,9990,0,2,9999999,119100,999999,99999,99999,999999,374,0,1
2568063,2016,1,1128920,59,1,32,47,0,4,0,1,2,2,1,1,1,1,20,5,4,55,3,301,1,17,3,6,1999,0,0,0,0,1,100,24,2400,999,9990,999,9990,0,2,0,98401,0,0,0,0,266,0,1
115150,2016,1,50833,7,0,41,4,190,4,0,4,0,0,0,0,0,0,0,0,1,7,12,1270,2,59,2,4,1957,1,1,1980,1,1,100,4,400,999,9990,999,9990,0,1,10540,9999999,0,540,0,0,85,0,2
2534810,2016,1,1113757,149,1,31,45,70,4,0,1,2,2,1,1,1,1,10,3,5,89,5,501,2,63,4,5,1953,1,1,1991,1,8,802,45,4500,88,880,920,9205,0,1,23100,85600,0,15100,0,8000,284,0,2
1787859,2016,1,779783,170,1,12,34,310,3,5210,1,2,2,1,1,1,2,10,6,1,171,1,101,1,83,4,1,1933,1,1,1959,1,1,100,110,11000,261,2610,999,9990,0,1,20900,84900,4000,16900,0,0,286,0,1
1833278,2016,1,798780,68,1,12,34,50,3,0,1,2,2,1,1,1,1,10,2,1,68,1,101,1,32,3,1,1984,1,1,2011,1,1,100,34,3400,88,880,142,1420,0,1,84000,112000,84000,0,0,0,501,0,1
1573594,2016,1,684780,74,3,22,27,0,0,0,1,2,2,1,1,1,1,10,3,3,107,9,901,2,10,2,6,2006,0,0,0,0,1,100,27,2700,902,9020,999,9990,0,2,9999999,17300,999999,99999,99999,999999,90,0,1
2948644,2016,1,1288041,46,1,31,51,0,3,0,1,2,2,1,1,2,1,10,3,2,90,2,201,2,60,1,1,1956,1,1,1991,1,2,200,51,5100,902,9020,999,9990,0,1,5100,57100,1900,0,0,3200,359,0,1
1054187,2016,1,450278,73,3,21,17,310,3,0,1,2,2,3,2,2,2,0,2,2,100,3,301,1,48,4,6,1968,0,0,0,0,1,100,17,1700,142,1420,32,321,0,1,0,49000,0,0,0,0,340,0,1
2022541,2016,1,880797,35,1,12,36,0,0,0,1,2,2,1,1,2,2,20,2,2,35,2,201,2,70,1,1,1946,2,1,1975,1,1,100,36,3600,32,321,999,9990,0,1,11600,62000,0,11600,0,0,432,0,1
2954827,2016,1,1290780,76,1,31,51,0,3,0,1,2,2,1,1,1,1,10,4,4,99,3,301,2,17,3,6,1999,0,0,0,0,1,100,35,3500,211,2110,999,9990,0,2,2000,130100,2000,0,0,0,446,0,1
2937423,2016,1,1283076,95,1,31,51,0,0,0,1,2,2,1,1,1,1,10,3,1,95,1,101,1,49,1,1,1967,1,1,1992,1,1,100,51,5100,999,9990,999,9990,0,1,60000,150000,60000,0,0,0,501,0,1
601446,2016,1,248244,101,1,11,9,30,3,0,1,2,2,1,1,1,1,10,2,1,101,1,101,2,67,4,1,1949,1,1,1976,1,1,100,44,4400,22,220,50,500,0,1,81000,76400,81000,0,0,0,501,0,1
1081222,2016,1,462137,42,1,21,17,310,2,1190,1,2,2,1,1,1,1,10,2,2,49,2,201,1,55,2,1,1961,1,1,1987,1,2,200,17,1700,902,9020,920,9206,0,1,11000,45400,0,0,0,0,314,0,1
285343,2016,1,120139,55,6,42,6,370,4,0,1,2,2,1,1,2,1,20,1,1,55,1,101,2,70,1,6,1946,0,0,0,0,1,100,42,4200,51,511,999,9990,0,1,68000,68000,0,32000,0,36000,501,0,1
